| S.No | Module                  | Task                                                                                                           | Path Location       | Open Date | Close Date | Assigned To  | Priority | Status      | Dev Notes | Remark                   |
| ---- | ----------------------- | -------------------------------------------------------------------------------------------------------------- | ------------------- | --------- | ---------- | ------------ | -------- | ----------- | --------- | ------------------------ |
|      | Company & Setup         | Same backup file shown to all users – should be user-specific                                                  | Data Backup         |           |            |              |          | Deployed    |           |                          |
|      |                         | Restore Backup option – Feature required                                                                       | Data Backup         |           |            |              |          | Deployed    |           |                          |
|      |                         | Backup file – No info on which user / which year                                                               | Data Backup         |           |            |              |          | Deployed    |           |                          |
|      |                         | User Access – Validation error while authorization                                                             | Users & Access      |           |            |              |          | Deployed    |           |                          |
| 1.0  |                         | Financial Year – Select or change FY for any company                                                           | Financial year      |           |            | harshwardhan |          | Deployed    |           |                          |
|      |                         | Add New Role – Validation Failed                                                                               | Roles & Permissions |           |            |              |          | Deployed    |           |                          |
|      |                         | Master Log / Audit Logs – Feature required                                                                     | Audit Logs          |           |            |              |          | Not Started | Ankit Sir |                          |
|      |                         | Financial Year with data cannot be deleted                                                                     | Financial year      |           |            |              |          | Deployed    |           |                          |
|      |                         | Business Nature – Other user's data reflected (data leak)                                                      | Bussiness Nature    |           |            |              |          | Deployed    |           |                          |
|      |                         | User activity audit – All actions logged and notified to Super Admin                                           | Audit Logs          |           |            |              |          |             |           |                          |
|      |                         | Business Nature Configurations – Feature required                                                              | Bussiness Nature    |           |            |              |          |             |           |                          |
| 2.0  |                         | Users & Access – Add User – Validation Failed                                                                  | Users & Access      |           |            | harshwardhan |          | Deployed    |           |                          |
|      | Accounding and Finance  | Ledgers – Option to create multiple ledgers at once                                                            |                     |           |            |              |          | Deployed    |           |                          |
|      |                         | Ledger – Option: Liable to deduct TDS – Yes/No                                                                 |                     |           |            |              |          | Deployed    |           |                          |
|      |                         | Ledger – Edit/Delete – cursor auto-selects upper ledger (wrong)                                                |                     |           |            |              |          | Deployed    |           |                          |
|      |                         | Same ledger cannot be created twice – validation missing                                                       |                     |           |            |              |          | Deployed    |           |                          |
| 3.0  |                         | Voucher Entry – Remove Sale/Purchase/Credit/Debit Notes from Voucher Type (already in Invoicing/Billing)       |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 5.0  | Invoicing & Billings    | Stock Items – Add and Edit – Validation Failed                                                                 |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 6.0  |                         | Stock Items – HSN dropdown; GST rate auto-update from HSN/SAC                                                  |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 7.0  |                         | Inventory – Stock Category vs Stock Groups clarification needed                                                |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 8.0  |                         | Customer & Vendor – Option to save PAN No. (not mandatory)                                                     |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 9.0  |                         | Inventory – Units of Measurement (kg, g, pcs, box, litre, cm etc.)                                             |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 10.0 |                         | Voucher Entry UI is not proper (Screenshot shared)                                                             |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 11.0 |                         | Income – Direct Income and Indirect Income (same as Expense)                                                   |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 14.0 |                         | Voucher Save – Validation Error                                                                                |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 15.0 |                         | Sales – Due date auto-calculate from credit days in customer record                                            |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 16.0 |                         | Sales – Alert when invoice amount exceeds credit limit                                                         |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 17.0 |                         | Sales – Save Invoice – Invoice Number Error (Screenshot shared)                                                |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 18.0 |                         | Payroll – Failed to delete Employee                                                                            |                     |           |            | harshwardhan |          |             |           | provided but not working |
| 19.0 |                         | Payroll – Attendance module / Calendar Library Not Loaded                                                      |                     |           |            | harshwardhan |          |             |           | working                  |
| 20.0 |                         | Payroll – Employee Statutory Details – Add UAN & PRAN Number                                                   |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 21.0 |                         | Payroll – Employee basic salary vs Salary Structure differ; clarification needed                               |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 22.0 |                         | Stock Alerts – Feature required                                                                                |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 23.0 |                         | Batch Tracking – Feature required                                                                              |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 24.0 |                         | Serial Number Tracking – Feature required                                                                      |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 25.0 |                         |                                                                                                                |                     |           |            | harshwardhan |          |             |           | Ankit sir                |
| 26.0 |                         |                                                                                                                |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 27.0 |                         | Opening Balances – System to map opening balances                                                              |                     |           |            | harshwardhan |          |             |           | Not understand           |
| 29.0 |                         | TDS Master – Use Sections instead of Codes; similar to HSN/SAC                                                 |                     |           |            | harshwardhan |          |             |           | Not understand           |
| 30.0 |                         | TCS Master – Use Sections instead of Codes; similar to HSN/SAC                                                 |                     |           |            | harshwardhan |          |             |           | Not understand           |
| 31.0 |                         | Date Format – DD/MM/YYYY should be used everywhere                                                             |                     |           |            | harshwardhan |          |             |           |                          |
| 32.0 |                         | Financial Year – Edit and Delete (in case of wrong entry)                                                      |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 33.0 |                         | Vendor – Option: Liable to deduct TDS – Yes/No                                                                 |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 34.0 |                         |                                                                                                                |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 35.0 |                         | GST & Taxation – Add TDS Report and TCS Reports                                                                |                     |           |            | harshwardhan |          |             |           | Not understand           |
| 36.0 |                         | GST & Taxation – Rename to Tax & Compliances                                                                   |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 39.0 |                         | Financial Year tab near company name (top-right corner)                                                        |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 40.0 |                         | Dark Mode                                                                                                      |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 41.0 |                         | Settings icon in right-side panel for all theme settings                                                       |                     |           |            | harshwardhan |          |             |           | what type of theme       |
| 42.0 |                         | Quick Action Button (+) – Add items (Invoice, Credit Note, Manufacturing Entry etc.)                           |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 43.0 |                         | Notifications layout not uniform                                                                               |                     |           |            | harshwardhan |          | In Progress |           |                          |
| 44.0 |                         | Place of Supply – Autofill after customer/vendor; default home state for no-GST; manually editable             |                     |           |            | harshwardhan |          | Deployed    |           |                          |
